Order_ID,Order_Date,Region,Country,Product,Category,Customer_Type,Quantity,Unit_Price,Revenue,Material_Cost,Shipping_Cost,Operational_Cost,Total_Cost,Profit,Margin,Quarter
ORD000001,2024-11-23,Europe,Germany,Monitor,Accessories,Retail,8,651,5208,2589.91,332.45,741.89,3664.25,1543.75,29.64,4
ORD000002,2024-02-14,Middle East,Saudi Arabia,Laptop,Computers,Retail,3,975,2925,1159.86,175.8,348.91,1684.57,1240.43,42.41,1
ORD000003,2024-11-28,Africa,Kenya,Mouse,Accessories,Retail,15,2493,37395,15168.84,2747.22,4977.89,22893.95,14501.05,38.78,4
ORD000004,2024-03-22,Africa,Egypt,Keyboard,Accessories,Wholesale,5,961,4805,2601.63,225.02,415.6,3242.25,1562.75,32.52,1
ORD000005,2024-02-19,North America,Canada,Smartwatch,Wearables,Wholesale,2,1961,3922,1793.32,308.49,417.68,2519.49,1402.51,35.76,1
ORD000006,2024-10-09,North America,Mexico,Smartwatch,Wearables,Wholesale,19,867,16473,8086.83,531.93,1580.63,10199.39,6273.61,38.08,4
ORD000007,2024-05-28,Europe,France,Desktop,Computers,Wholesale,9,1937,17433,8317.93,841.0,1846.38,11005.31,6427.69,36.87,2
ORD000008,2024-04-17,Africa,Egypt,Desktop,Computers,Retail,18,1082,19476,7453.09,953.79,2907.12,11314.0,8162.0,41.91,2
ORD000009,2024-11-23,Africa,Kenya,Tablet,Mobile,Wholesale,25,309,7725,3057.63,244.15,788.58,4090.36,3634.64,47.05,4
ORD000010,2024-05-17,Europe,France,Smartwatch,Wearables,Wholesale,7,2124,14868,6380.25,1125.91,1666.99,9173.15,5694.85,38.3,2
ORD000011,2024-05-15,Asia,Japan,Headphones,Audio,Wholesale,24,2474,59376,25869.34,3513.67,6254.65,35637.66,23738.34,39.98,2
ORD000012,2024-03-11,Middle East,Saudi Arabia,Desktop,Computers,Retail,4,706,2824,1342.78,196.56,309.37,1848.71,975.29,34.54,1
ORD000013,2024-02-02,South America,Argentina,Smartwatch,Wearables,Wholesale,17,1109,18853,10260.1,1377.0,1523.39,13160.49,5692.51,30.19,1
ORD000014,2024-02-28,Africa,Kenya,Monitor,Accessories,Wholesale,4,1282,5128,2240.7,270.17,752.62,3263.49,1864.51,36.36,1
ORD000015,2024-05-14,Middle East,UAE,Headphones,Audio,Retail,21,1302,27342,14172.28,1514.29,2568.06,18254.63,9087.37,33.24,2
ORD000016,2024-07-10,Asia,India,Smartwatch,Wearables,Wholesale,16,159,2544,947.32,122.49,378.99,1448.8,1095.2,43.05,3
ORD000017,2024-06-06,Asia,India,Tablet,Mobile,Retail,3,2070,6210,3187.0,489.96,728.37,4405.33,1804.67,29.06,2
ORD000018,2024-03-05,Asia,Singapore,Headphones,Audio,Retail,9,2241,20169,10578.37,1031.78,1912.54,13522.69,6646.31,32.95,1
ORD000019,2024-10-03,Africa,Kenya,Tablet,Mobile,Wholesale,13,1609,20917,9153.7,1168.82,1850.53,12173.05,8743.95,41.8,4
ORD000020,2024-04-25,Europe,Italy,Laptop,Computers,Retail,19,982,18658,6557.13,1220.08,1569.53,9346.74,9311.26,49.9,2
ORD000021,2024-02-04,Europe,Italy,Desktop,Computers,Retail,9,2068,18612,7311.68,681.49,2707.79,10700.96,7911.04,42.51,1
ORD000022,2024-10-19,Middle East,Saudi Arabia,Tablet,Mobile,Wholesale,14,859,12026,4435.97,757.03,1260.33,6453.33,5572.67,46.34,4
ORD000023,2024-07-29,South America,Brazil,Desktop,Computers,Retail,13,1469,19097,9741.73,677.25,1783.88,12202.86,6894.14,36.1,3
ORD000024,2024-10-01,South America,Brazil,Mouse,Accessories,Retail,9,1974,17766,7105.71,1353.12,1972.37,10431.2,7334.8,41.29,4
ORD000025,2024-10-08,Europe,Germany,Headphones,Audio,Retail,3,1048,3144,1204.98,170.66,298.56,1674.2,1469.8,46.75,4
